	CÓDIGO DA OCORRÊNCIA	CLASSIFICAÇÃO	TIPO DE OCORRÊNCIA	LOCALIDADE	UF	PAÍS	DIA DA OCORRÊNCIA	STATUS DA INVESTIGAÇÃO	CONTAGEM
1905	26560	INCIDENTE GRAVE	CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO	SÃO PAULO	SP	BRASIL	2006-03-28	ATIVA	1
1906	49454	ACIDENTE	FALHA DE SISTEMA / COMPONENTE	SÃO PAULO	SP	BRASIL	2013-08-21	ATIVA	1
1907	31078	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2007-11-04	FINALIZADA	1
1908	42289	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2010-07-29	FINALIZADA	1
1909	46854	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2013-01-21	FINALIZADA	1
1910	45867	INCIDENTE GRAVE	COLISÃO EM VOO COM OBSTÁCULO	SÃO PAULO	SP	BRASIL	2012-05-18	ATIVA	1
1911	48438	ACIDENTE	POUSO LONGO	SÃO PAULO	SP	BRASIL	2013-05-18	FINALIZADA	1
1912	27449	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2006-08-10	FINALIZADA	1
1913	43450	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2010-11-04	FINALIZADA	1
1914	33219	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2008-07-03	FINALIZADA	1
1915	30658	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2007-09-03	ATIVA	1
1916	43471	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2010-12-14	FINALIZADA	1
1917	45553	INCIDENTE GRAVE	FALHA DE SISTEMA / COMPONENTE	SÃO PAULO	SP	BRASIL	2011-10-16	FINALIZADA	1
1918	27689	ACIDENTE	COLISÃO COM AERONAVE NO SOLO	SÃO PAULO	SP	BRASIL	2006-09-04	FINALIZADA	1
